회사명,종목코드,업종,주요제품,상장일,대표자명,홈페이지,지역
줌인터넷,239340,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","줌닷컴, 뉴썸 등",2016-06-09 00:00:00,"김태기, 김남현 각자대표이사",http://www.zuminternet.com,서울특별시
아시아경제,127710,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",광고 및 콘텐츠,2015-07-31 00:00:00,"마영민, 우병현(각자대표이사)",http://www.asiae.co.kr,서울특별시
로지시스,067730,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","전산장비 판매 및 유지보수, VAN기기 대행관리",2015-07-29 00:00:00,이호성,http://www.logisys.co.kr,서울특별시
헥토이노베이션,214180,기타 정보 서비스업,휴대폰부가서비스,2015-06-30 00:00:00,이현철,http://www.hectoinnovation.co.kr,서울특별시
아이티센,124500,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",시스템통합 및 IT서비스,2014-12-23 00:00:00,"박정재, 강승우(각자대표)",http://www.itcen.co.kr,서울특별시
미스터블루,207760,기타 정보 서비스업,"온라인 만화 콘텐츠 서비스 및 제공, 만화 출판",2014-12-12 00:00:00,조승진,http://www.mrbluecorp.com/,서울특별시
삼성에스디에스,018260,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","IT서비스, 물류BPO",2014-11-14 00:00:00,황성우,http://www.samsungsds.com,서울특별시
유니포인트,121060,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","소프트웨어 개발, 도소매컴퓨터시스템 설계, 자문",2014-10-24 00:00:00,"안국필, 정우천(공동대표이사)",http://www.unipoint.co.kr,서울특별시
사람인,143240,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","온라인 채용광고(취업포털), 인재파견, 취업지원 등",2012-02-21 00:00:00,김용환,http://www.saramin.co.kr,서울특별시
BF랩스,139050,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","용역서비스(ITS,BIS,ATMS,BRT)",2011-07-29 00:00:00,진형일,,경기도
롯데하이마트,071840,가전제품 및 정보통신장비 소매업,"가전제품,잡화 도소매/부동산 임대",2011-06-29 00:00:00,남창희,http://company.himart.co.kr,서울특별시
윈스,136540,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","네크워크보안장비(IPS, 안티 DDoS)",2011-05-02 00:00:00,김보연,http://www.wins21.co.kr,경기도
케이아이엔엑스,093320,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",인터넷연동서비스 등,2011-02-08 00:00:00,김지욱,http://www.kinx.net,서울특별시
KTis,058860,기타 정보 서비스업,"114전화번호안내, 고객센터",2010-12-17 00:00:00,윤경근,http://www.ktis.co.kr,서울특별시
비케이탑스,030790,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","시스템통합소프트웨어 개발, 전자상거래",2010-11-02 00:00:00,정상룡,http://www.bktops.co.kr,서울특별시
KTcs,058850,기타 정보 서비스업,전화번호검색 데이타제공/콜센터 운영,2010-09-16 00:00:00,박경원,http://www.ktcs.co.kr,대전광역시
이글루,067920,기타 정보 서비스업,"통합보안관리솔루션, 보안관제서비스",2010-08-04 00:00:00,이득춘,http://igloo.co.kr,서울특별시
케이씨에스,115500,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",컴퓨터시스템 통합 구축 및 철도 도로 교통인프라,2010-04-14 00:00:00,김광묵,http://www.kcins.co.kr,경상북도
NAVER,035420,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",포털 서비스 및 온라인 광고,2008-11-28 00:00:00,최수연,http://www.navercorp.com,경기도
이크레더블,092130,기타 정보 서비스업,"전자신용인증서비스(정보),소프트웨어 개발",2008-10-24 00:00:00,민영창,http://www.ecredible.co.kr,서울특별시
LG유플러스,032640,전기 통신업,"개인휴대통신서비스,음성서비스,데이터서비스,부가통신/단말기 도소매/프로그램 개발,자료제공",2008-04-21 00:00:00,황현식,http://www.uplus.co.kr,서울특별시
이씨에스,067010,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컨택센터용교환시스템,업무용교환시스템",2007-12-18 00:00:00,현해남,http://www.ecstel.co.kr,서울특별시
율호,072770,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",무선인터넷플랫폼,2007-07-25 00:00:00,"이정남, 최용인(각자대표이사)",http://www.neodian.co.kr,서울특별시
케이씨티,089150,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","금융단말시스템,복표발매기,마권발매기",2006-12-13 00:00:00,"이규현, 강창귀 각자대표",http://www.kctinc.co.kr,경기도
THE E&M,089230,기타 정보 서비스업,인터넷 개인방송 플랫폼,2006-10-10 00:00:00,"신환률, 김대권(각자대표)",http://www.theenm.com,서울특별시
인포뱅크,039290,기타 정보 서비스업,"모바일메시징서비스,휴대폰단말기용S/W개발용역",2006-07-04 00:00:00,박태형,http://www.infobank.net,경기도
신세계I&C,035510,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","IT시스템 개발, 운영 및 유지보수, IT 컨설팅, IT장비솔루션 총판, 아웃소싱, IDC, IT기기 및 휴대폰 유통, 전자상품권",2006-05-18 00:00:00,형태준,http://www.shinsegae-inc.com,서울특별시
플랜티넷,075130,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",유해사이트차단서비스,2005-06-10 00:00:00,김태주 (단독 대표이사),http://www.plantynet.com,경기도
iMBC,052220,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","디지털콘텐츠,웹에이젼시",2005-01-21 00:00:00,이선태,http://corp.imbc.com,서울특별시
